"long","lat","count","type"
-74.05,40.719,4.0,p
0.0,5.0,1.0,p
-73.816,40.665,5.0,p
-73.816,40.663,3.0,p
-73.821,40.682,1.0,p
-73.816,40.664,1.0,p
-73.965,40.707,9.0,p
-73.965,40.708,3.0,p
-73.965,40.705,1.0,p
-74.05,40.706,1.0,p
-73.965,40.709,13.0,p
-73.821,40.687,2.0,p
-73.821,40.685,1.0,p
-73.965,40.703,2.0,p
-73.965,40.701,1.0,p
-75.716,43.599,1.0,p
-73.965,40.702,4.0,p
-73.821,40.694,1.0,p
-73.821,40.695,1.0,p
-73.821,40.692,1.0,p
-73.821,40.693,1.0,p
-73.686,40.656,1.0,p
-73.784,41.333,1.0,p
-73.964,40.81,44.0,p
-73.964,40.82,1.0,p
-74.103,40.479,1.0,p
-74.424,40.758,1.0,p
-73.886,40.879,1.0,p
-73.8,40.708,8.0,p
-73.8,40.706,1.0,p
-73.886,40.874,1.0,p
-73.964,40.74,1.0,p
-73.964,40.75,15.0,p
-73.8,40.703,2.0,p
-74.071,40.699,1.0,p
-73.964,40.76,9297.0,p
-73.8,40.702,3.0,p
-73.964,40.77,6261.0,p
-73.886,40.871,3.0,p
-74.001,40.626,1.0,p
-73.964,40.78,11.0,p
-74.001,40.625,1.0,p
-73.964,40.79,19.0,p
-73.886,40.875,4.0,p
-73.742,40.731,1.0,p
-74.219,40.718,1.0,p
-73.964,40.71,454.0,p
-73.964,40.73,5.0,p
-74.001,40.608,1.0,p
-73.742,40.727,1.0,p
-74.094,40.517,1.0,p
-73.964,40.64,1.0,p
-73.323,40.7,1.0,p
-74.001,40.617,1.0,p
-73.964,40.65,6.0,p
-73.964,40.68,79.0,p
-74.001,40.611,1.0,p
-73.886,40.859,1.0,p
-73.886,40.858,3.0,p
-73.65,40.751,1.0,p
-74.001,40.649,1.0,p
-74.001,40.648,2.0,p
-73.8,40.722,2.0,p
-73.886,40.856,1.0,p
-74.001,40.646,2.0,p
-74.001,40.644,1.0,p
-73.886,40.853,1.0,p
-74.103,40.492,2.0,p
-73.658,40.751,1.0,p
-73.742,40.709,2.0,p
-73.8,40.716,2.0,p
-74.001,40.638,1.0,p
-73.8,40.712,3.0,p
-73.886,40.866,6.0,p
-73.886,40.865,1.0,p
-73.658,40.705,2.0,p
-73.914,40.967,1.0,p
-74.001,40.653,1.0,p
-74.001,40.652,7.0,p
-74.001,40.657,29.0,p
-74.001,40.656,19.0,p
-73.742,40.765,1.0,p
-74.001,40.655,2.0,p
-73.771,40.66,1.0,p
-73.964,40.62,9.0,p
-74.094,40.598,1.0,p
-74.001,40.687,106.0,p
-74.001,40.686,13.0,p
-74.001,40.685,8.0,p
-74.001,40.684,76.0,p
-74.001,40.683,119.0,p
-74.001,40.682,21.0,p
-74.001,40.681,9.0,p
-73.658,40.724,1.0,p
-74.001,40.689,1.0,p
-73.964,40.58,1.0,p
-74.001,40.688,15.0,p
-73.964,40.59,6.0,p
-74.168,40.533,1.0,p
-73.927,40.82,5.0,p
-73.927,40.83,47.0,p
-73.927,40.81,45.0,p
-74.168,40.531,1.0,p
-73.492,40.83,1.0,p
-73.927,40.86,8.0,p
-74.001,40.676,154.0,p
-74.001,40.675,18.0,p
-74.001,40.674,5.0,p
-74.001,40.673,12.0,p
-74.001,40.672,1.0,p
-74.001,40.671,2.0,p
-73.509,41.114,1.0,p
-74.001,40.679,8.0,p
-74.001,40.678,13.0,p
-74.001,40.677,100.0,p
-73.765,40.656,1.0,p
-73.765,40.655,1.0,p
-73.737,40.671,1.0,p
-74.135,40.53,1.0,p
-74.071,40.601,1.0,p
-73.988,40.644,1.0,p
-74.038,40.965,1.0,p
-74.066,40.709,1.0,p
-73.88,40.651,1.0,p
-73.663,40.806,1.0,p
-74.066,40.715,1.0,p
-73.88,40.649,1.0,p
-73.988,40.641,2.0,p
-73.8,40.789,1.0,p
-73.765,40.669,1.0,p
-73.965,40.791,2120.0,p
-73.737,40.686,27.0,p
-73.737,40.687,2.0,p
-73.988,40.658,1.0,p
-73.988,40.659,47.0,p
-73.965,40.794,391.0,p
-73.965,40.795,3367.0,p
-73.765,40.664,1.0,p
-73.965,40.792,594.0,p
-73.863,40.955,2.0,p
-79.068,44.948,1.0,p
-73.965,40.793,209.0,p
-74.833,40.646,1.0,p
-73.88,40.655,1.0,p
-73.965,40.798,25.0,p
-73.965,40.799,32.0,p
-73.965,40.796,262.0,p
-73.965,40.797,3.0,p
-73.988,40.627,1.0,p
-73.765,40.674,3.0,p
-73.988,40.622,1241.0,p
-73.891,40.706,1.0,p
-74.066,40.731,1.0,p
-74.066,40.735,3.0,p
-73.891,40.712,1.0,p
-74.066,40.737,11.0,p
-74.066,40.738,1.0,p
-73.742,40.794,1.0,p
-73.988,40.638,1.0,p
-74.122,40.822,1.0,p
-74.117,40.903,1.0,p
-74.187,40.993,1.0,p
-74.066,40.721,1.0,p
-74.066,40.724,2.0,p
-73.891,40.701,1.0,p
-74.066,40.725,2.0,p
-73.891,40.704,1.0,p
-74.066,40.727,1.0,p
-74.145,41.074,1.0,p
-74.122,40.818,1.0,p
-73.765,40.611,1.0,p
-73.988,40.689,298.0,p
-73.988,40.687,10.0,p
-73.988,40.688,633.0,p
-73.891,40.728,4.0,p
-73.891,40.727,1.0,p
-73.93,40.584,1.0,p
-73.886,40.836,1.0,p
-73.891,40.733,1.0,p
-73.886,40.835,1.0,p
-74.014,40.7,10.0,p
-73.891,40.734,1.0,p
-73.891,40.736,1.0,p
-73.988,40.685,117.0,p
-73.988,40.686,49.0,p
-73.988,40.683,1.0,p
-73.988,40.684,2.0,p
-73.988,40.681,39.0,p
-73.988,40.682,6.0,p
-73.8,40.742,1.0,p
-73.78,40.91,1.0,p
-73.988,40.698,102.0,p
-73.988,40.699,33.0,p
-74.424,41.133,2.0,p
-73.891,40.719,6.0,p
-74.089,40.607,6.0,p
-74.201,40.799,1.0,p
-74.089,40.603,1.0,p
-73.891,40.724,1.0,p
-73.891,40.726,2.0,p
-73.891,40.725,14.0,p
-74.066,40.749,3.0,p
-73.8,40.738,1.0,p
-73.988,40.696,563.0,p
-73.988,40.697,165.0,p
-73.988,40.694,331.0,p
-73.988,40.695,448.0,p
-73.988,40.692,1133.0,p
-73.988,40.693,2148.0,p
-73.988,40.691,540.0,p
-74.224,40.647,1.0,p
-73.988,40.669,37.0,p
-73.988,40.667,49.0,p
-73.988,40.668,6.0,p
-73.988,40.665,49.0,p
-73.988,40.666,235.0,p
-73.891,40.749,29.0,p
-74.094,40.512,1.0,p
-73.88,40.674,1.0,p
-73.891,40.753,2.0,p
-73.886,40.815,1.0,p
-73.891,40.752,2.0,p
-73.891,40.755,48.0,p
-73.891,40.754,45.0,p
-73.891,40.757,2.0,p
0.0,-2505.7,1.0,p
-73.886,40.819,1.0,p
-73.891,40.756,1.0,p
-73.133,40.732,1.0,p
-73.891,40.759,2.0,p
-74.094,40.508,1.0,p
-73.891,40.758,9.0,p
-74.094,40.507,1.0,p
-73.988,40.663,3.0,p
-74.001,40.607,1.0,p
-73.988,40.664,5.0,p
-74.001,40.606,1.0,p
-73.988,40.661,8.0,p
-74.001,40.605,1.0,p
-73.988,40.662,20.0,p
-85.62,46.059,1.0,p
-74.071,40.675,1.0,p
-73.78,40.65,1.0,p
-73.78,40.66,1.0,p
-73.891,40.751,3.0,p
-73.993,40.597,1.0,p
-73.993,40.599,1.0,p
-73.988,40.679,2.0,p
-73.988,40.676,3.0,p
-73.988,40.677,1.0,p
-73.891,40.739,18.0,p
-73.891,40.738,1.0,p
-73.88,40.679,6.0,p
-73.886,40.827,4.0,p
-73.886,40.826,8.0,p
-73.891,40.741,1.0,p
-73.886,40.825,3.0,p
-73.891,40.744,1.0,p
-73.891,40.743,3.0,p
-73.891,40.746,595.0,p
0.0,-2495.7,1.0,p
-73.891,40.745,4.0,p
-73.891,40.748,61.0,p
-73.891,40.747,133.0,p
-73.886,40.828,2.0,p
-73.988,40.674,23.0,p
-73.8,40.759,1.0,p
-74.071,40.687,1.0,p
-73.78,40.72,1.0,p
-73.988,40.675,28.0,p
-73.988,40.672,17.0,p
-74.071,40.686,1.0,p
-73.988,40.673,11.0,p
-73.886,40.823,2.0,p
-73.737,40.667,1.0,p
-73.988,40.671,91.0,p
-73.886,40.822,2.0,p
-74.089,40.511,1.0,p
-78.717,42.27,1.0,p
-73.942,40.759,2.0,p
-73.942,40.758,5.0,p
-73.942,40.755,3.0,p
-73.858,40.892,1.0,p
-73.858,40.893,2.0,p
-73.942,40.756,2.0,p
-74.089,40.519,1.0,p
-73.942,40.753,778.0,p
-73.942,40.754,1239.0,p
-73.942,40.751,215.0,p
-73.942,40.752,24.0,p
-73.858,40.897,1.0,p
-73.839,40.684,6.0,p
-73.965,40.609,1.0,p
-73.714,40.756,1.0,p
-73.821,40.704,2.0,p
-73.965,40.606,1.0,p
-73.714,40.757,1.0,p
-73.891,40.658,1.0,p
-73.821,40.709,1.0,p
-74.066,40.671,1.0,p
-73.965,40.604,2.0,p
-73.821,40.703,3.0,p
-73.839,40.681,1.0,p
-73.942,40.748,6.0,p
-73.942,40.749,144.0,p
-73.942,40.746,99.0,p
-73.942,40.747,191.0,p
-73.942,40.744,1.0,p
-73.942,40.745,13.0,p
-73.942,40.742,2.0,p
-73.942,40.741,21.0,p
-73.821,40.717,13.0,p
-73.821,40.718,1.0,p
-73.839,40.698,1.0,p
-73.821,40.716,1.0,p
-73.509,40.819,1.0,p
-74.009,404.376,1.0,p
-73.821,40.713,1.0,p
-73.821,40.714,1.0,p
-73.821,40.711,18.0,p
-73.942,40.739,55.0,p
-73.942,40.737,1.0,p
-73.942,40.735,1.0,p
-73.942,40.736,2.0,p
-73.942,40.732,26.0,p
-73.858,40.874,1.0,p
-73.891,40.676,2.0,p
-73.858,40.876,1.0,p
-73.965,40.628,4.0,p
-73.965,40.629,3.0,p
-73.714,40.736,2.0,p
-73.891,40.679,1.0,p
-73.965,40.626,4.0,p
-73.891,40.672,1.0,p
-73.965,40.627,8.0,p
-73.965,40.624,12.0,p
-73.965,40.625,6.0,p
-74.28,40.769,1.0,p
-73.942,40.728,3.0,p
-73.942,40.726,1.0,p
-73.942,40.727,19.0,p
-73.942,40.724,4.0,p
-73.942,40.725,23.0,p
-74.043,40.793,1.0,p
-73.942,40.722,2.0,p
-74.043,40.794,1.0,p
-74.066,41.008,1.0,p
-73.942,40.723,19.0,p
-73.858,40.882,1.0,p
-73.942,40.721,89.0,p
-73.965,40.618,1.0,p
-73.737,40.628,1.0,p
-73.965,40.612,1.0,p
-73.97,40.8,114.0,p
-73.891,40.663,1.0,p
-73.942,40.719,2.0,p
-73.942,40.717,4.0,p
-74.043,40.785,1.0,p
-74.043,40.786,6.0,p
-73.942,40.715,65.0,p
-74.043,40.787,2.0,p
-73.942,40.716,27.0,p
-74.043,40.788,9.0,p
-73.942,40.713,12.0,p
-74.117,40.734,1.0,p
-73.942,40.714,561.0,p
-74.117,40.735,1.0,p
-73.942,40.711,174.0,p
-73.942,40.712,7.0,p
-73.963,40.72,60.0,p
-73.963,40.71,2444.0,p
-73.963,40.74,1.0,p
-72.433,46.99,1.0,p
-73.963,40.73,1.0,p
-73.891,40.699,1.0,p
-73.963,40.66,3.0,p
-73.963,40.69,20.0,p
-73.963,40.68,45.0,p
-73.965,40.644,5.0,p
-74.298,40.361,1.0,p
-73.891,40.691,1.0,p
-73.965,40.648,10.0,p
-73.8,40.589,1.0,p
-73.942,40.708,31.0,p
-73.942,40.706,14.0,p
-73.942,40.707,17.0,p
-74.043,40.775,5.0,p
-73.942,40.704,23.0,p
-74.043,40.776,1.0,p
-73.942,40.705,17.0,p
-74.043,40.777,1.0,p
-73.942,40.702,17.0,p
-73.839,40.659,1.0,p
-73.942,40.703,32.0,p
-73.963,40.81,134.0,p
-73.942,40.701,97.0,p
-73.963,40.76,485.0,p
-73.963,40.75,8.0,p
-73.963,40.78,9.0,p
-73.821,40.759,2.0,p
-73.965,40.639,2.0,p
-73.891,40.689,1.0,p
-73.963,40.77,2659.0,p
-74.277,40.69,1.0,p
-74.173,40.429,1.0,p
-73.839,40.655,1.0,p
-73.963,40.79,3.0,p
-73.839,40.657,1.0,p
-73.965,40.633,1.0,p
-73.965,40.634,3.0,p
-73.821,40.754,1.0,p
-73.821,40.751,2.0,p
-73.965,40.631,1.0,p
-73.965,40.632,3.0,p
-73.821,40.752,1.0,p
-73.821,40.758,1.0,p
-73.965,40.636,1.0,p
-74.098,40.197,1.0,p
-74.043,40.765,1.0,p
-74.171,40.75,1.0,p
-73.821,40.726,3.0,p
-73.821,40.727,2.0,p
-73.839,40.666,1.0,p
-74.171,40.71,1.0,p
-73.839,40.667,1.0,p
-2.666,40.751,1.0,p
-73.965,40.666,1.0,p
-73.965,40.667,7.0,p
-2.666,40.754,1.0,p
-73.821,40.725,1.0,p
-73.965,40.668,2.0,p
-73.821,40.723,1.0,p
-74.071,40.837,1.0,p
-73.965,40.652,1.0,p
-73.963,40.62,1.0,p
-73.963,40.58,1.0,p
-73.965,40.653,1.0,p
-74.043,40.749,1.0,p
-74.043,40.745,1.0,p
-74.043,40.747,4.0,p
-73.808,40.7,5.0,p
-74.019,40.643,1.0,p
-74.019,40.646,2.0,p
-73.821,40.781,1.0,p
-73.156,40.595,1.0,p
-74.049,40.76,1.0,p
-74.049,40.79,3.0,p
-74.019,40.642,2.0,p
-74.019,40.641,2.0,p
-74.145,40.803,1.0,p
-74.043,40.739,2.0,p
-74.043,40.734,2.0,p
-74.019,40.636,2.0,p
-74.043,40.735,1.0,p
-74.019,40.639,10.0,p
-73.816,40.755,1.0,p
-74.043,40.736,3.0,p
-74.043,40.731,4.0,p
-74.019,40.632,1.0,p
-74.019,40.635,18.0,p
-74.043,40.732,4.0,p
-73.816,40.752,1.0,p
-74.043,40.733,1.0,p
-74.049,40.73,2.0,p
-73.821,40.797,1.0,p
-74.019,40.631,1.0,p
-74.043,40.727,1.0,p
-74.043,40.728,2.0,p
-74.043,40.729,2.0,p
-74.043,40.723,1.0,p
-74.043,40.724,1.0,p
-74.043,40.725,3.0,p
-74.043,40.726,6.0,p
-73.821,40.761,1.0,p
-74.043,40.721,3.0,p
-74.294,40.814,1.0,p
-73.291,40.199,1.0,p
-74.019,40.629,1.0,p
-73.821,40.764,4.0,p
-73.821,40.763,3.0,p
-74.043,40.716,1.0,p
-73.816,40.747,1.0,p
-74.043,40.717,2.0,p
-73.821,40.766,2.0,p
-73.816,40.748,1.0,p
-74.043,40.718,3.0,p
-74.043,40.719,7.0,p
-74.043,40.713,1.0,p
-74.043,40.714,5.0,p
-74.019,40.617,1.0,p
-74.043,40.715,7.0,p
-73.784,40.868,1.0,p
-74.019,40.611,1.0,p
-74.043,40.711,1.0,p
-79.34,35.634,1.0,p
-73.816,40.739,2.0,p
-73.821,40.775,1.0,p
0.0,6.666,2.0,p
-73.816,40.738,2.0,p
-73.333,40.837,1.0,p
-74.043,40.704,1.0,p
-73.942,40.799,119.0,p
-73.942,40.797,395.0,p
-73.942,40.798,338.0,p
-73.784,40.892,1.0,p
-73.942,40.795,78.0,p
-73.942,40.796,84.0,p
-73.942,40.793,41.0,p
-74.33,40.709,1.0,p
-73.942,40.794,285.0,p
-74.05,40.847,1.0,p
-73.942,40.791,487.0,p
-73.942,40.792,2.0,p
