long,lat,count
-73.9908,40.7511,539
-73.9951,40.7497,539
-74.0040,40.7334,539
-73.8855,40.7732,538
-73.9871,40.7293,537
-74.0042,40.7423,537
-73.9915,40.7490,536
-73.9621,40.7792,534
-74.0061,40.7331,533
-73.9905,40.7512,532
-74.0071,40.7414,532
-73.9990,40.7342,531
-73.9922,40.7493,530
-73.8615,40.7681,528
-73.7763,40.6453,525
-73.9907,40.7511,525
-73.991,40.7499,525
-73.9903,40.7515,523
-73.9904,40.7513,520
-73.9902,40.7514,519
-73.9903,40.7510,518
-73.7824,40.6487,517
-73.9817,40.7684,516
-73.7763,40.6454,515
-73.8732,40.7743,514
-74.0074,40.7411,514
-73.9909,40.7502,512
-73.8640,40.7695,511
-73.9904,40.7509,511
-73.9912,40.7505,510
-73.9824,40.7715,509
-73.994,40.7503,509
-74.0000,40.7586,509
-73.9393,40.8051,508
-73.9880,40.7281,507
-73.9751,40.7414,506
-74.0064,40.7392,505
-73.9921,40.7493,504
-73.9918,40.7491,501
-73.9920,40.7491,501
-73.9891,40.7479,500
-73.9956,40.7592,500
-74.0064,40.7395,500
-73.990,40.7510,499
-73.9916,40.7491,499
-73.9951,40.7499,499
-74.0000,40.7305,499
-73.8854,40.7731,498
-74.0064,40.7394,497
-73.9748,40.7419,496
-74.0053,40.7401,496
-73.8702,40.7732,495
-73.9948,40.7503,495
-73.8611,40.7678,493
-73.9917,40.7489,493
-74.0004,40.7584,493
-73.9900,40.7517,492
-73.991,40.7504,492
-73.9916,40.7500,492
-73.9908,40.7510,491
-73.9912,40.7499,491
-74.0137,40.7148,491
-73.9950,40.7498,490
-73.9888,40.7229,488
-73.9902,40.7513,488
-73.9903,40.7509,488
-73.9747,40.7419,485
-73.9555,40.7683,483
-73.9916,40.7497,483
-73.9917,40.7491,482
-73.9920,40.7492,482
-74.0053,40.7402,481
-73.8721,40.7744,480
-73.8641,40.7698,479
-74.0051,40.7410,479
-74.0080,40.7381,479
-74.0138,40.7148,479
-73.9822,40.7714,478
-73.9901,40.7516,478
-73.9913,40.7498,478
-73.9919,40.7490,478
-74.0058,40.7402,477
-73.9782,40.7294,476
-73.9806,40.7305,476
-73.991,40.7490,476
-73.9555,40.7767,475
-74.0029,40.7494,475
-74.0029,40.7495,475
-73.9887,40.7485,474
-73.9907,40.7506,474
-73.9911,40.7500,471
-73.7763,40.6452,469
-73.9588,40.7638,469
-73.9901,40.7515,469
-73.994,40.7501,469
-73.8702,40.7731,468
-73.9872,40.7223,468
-74.0000,40.7304,468
-74.0025,40.7500,468
-73.8724,40.7745,466
-73.9732,40.7643,465
-73.9880,40.7226,465
-74.0063,40.7396,465
-73.9791,40.7719,464
-73.9822,40.7713,464
-74.0052,40.7287,464
-74.005,40.7401,464
-74.0060,40.7399,463
-73.8640,40.7694,461
-73.9914,40.7503,461
-73.9918,40.7489,461
-74.0016,40.7564,461
-73.8713,40.7742,460
-73.9689,40.7858,460
-74.0033,40.7325,460
-73.9914,40.7489,459
-73.9923,40.7491,459
-73.8648,40.7704,458
-73.8723,40.7745,458
-73.9906,40.7512,458
-73.9918,40.7265,457
-73.9918,40.7260,456
-73.9760,40.7760,455
-73.9907,40.750,455
-74.0038,40.7420,455
-73.9809,40.7339,454
-73.9826,40.7716,454
-73.9856,40.7277,454
-73.9870,40.7295,454
-73.9900,40.7516,454
-73.9819,40.7683,453
-73.9834,40.7262,453
-73.9892,40.7478,453
-73.9919,40.7491,453
-73.9949,40.7499,453
-73.8612,40.7676,452
-73.9818,40.7683,452
-73.9890,40.7480,452
-73.8645,40.7701,451
-73.8725,40.7745,451
-73.9949,40.7502,451
-74.0060,40.7403,451
-73.990,40.7509,450
-74.0053,40.7400,450
-73.8640,40.7696,449
-73.8650,40.7704,449
-73.8658,40.7710,449
-73.9730,40.7642,449
-73.9906,40.7507,449
-73.9907,40.7560,449
-73.9909,40.7557,449
-73.9822,40.7683,448
-74.0040,40.7421,448
-73.8651,40.7705,447
-73.9236,40.7603,447
-73.9909,40.7558,447
-73.9908,40.7558,446
-73.9801,40.7351,445
-73.9888,40.7366,445
-74.0051,40.7408,445
-73.861,40.7683,444
-73.9639,40.7738,444
-73.9887,40.7484,444
-74.0060,40.7331,444
-73.8722,40.7745,443
-73.9908,40.7504,443
-73.9879,40.7282,442
-73.9912,40.7488,442
-73.8647,40.7702,441
-73.9537,40.7877,441
-73.9921,40.7490,441
-74.0046,40.7419,441
-73.9949,40.750,440
-74.0033,40.7326,440
-74.0045,40.7420,440
-73.8642,40.7699,439
-73.9823,40.7682,439
-73.9947,40.750,439
-73.8703,40.7727,438
-73.9909,40.7501,438
-73.8703,40.7736,437
-73.9555,40.7684,437
-73.9908,40.7502,437
-73.9923,40.7493,437
-74.0136,40.7150,437
-73.9726,40.7806,436
-73.990,40.7511,436
-73.991,40.7489,436
-74.0023,40.7604,436
-73.9731,40.7640,435
-74.0052,40.7288,435
-73.9823,40.7714,434
-73.9905,40.7508,434
-73.9840,40.7214,433
-74.0050,40.7412,433
-73.9714,40.7819,432
-73.9738,40.7643,432
-74.0056,40.7256,432
-73.9545,40.7779,431
-74.0046,40.7522,431
-73.8720,40.7744,430
-73.9648,40.8065,430
-73.9786,40.7449,430
-73.9819,40.7686,430
-73.9829,40.7314,430
-73.9869,40.7296,430
-73.9908,40.7503,430
-73.9938,40.7414,430
-73.8646,40.7702,429
